Formula,Translation,Translation_Type,Class,Difference,length
"∀x ∀y (Computer(x) ∧ Program(y) → (ProcessesData(x) ∧ ExecutesInstructionsFrom(x, y)))",A computer processes data and executes instructions from a program.,MALLS,0,True,10
∀x (Song(x) ∧ WidespreadPopularity(x) ∧ RadioPlay(x) ∧ SignificantSales(x) → TopOfMusicCharts(x)),"For a song to reach the top of the music charts, it must have widespread popularity, receive radio play, and generate significant sales.",MALLS,0,True,23
/ x / y ( Cube ( x ) & Tet ( y ) & @ z ( Tet ( z ) | Cube ( z ) ) ),"There is an element x such that there is an element y such that x is a cube and y is a tetrahedron and for all z, z is a tetrahedron or z is a cube.",Baseline,0,True,36
∀x (CoffeeShop(x) → (ServesHotAndColdBeverages(x) ∧ OffersCoffeeTeaSmoothies(x))),"A coffee shop serves a variety of hot and cold beverages, such as coffee, tea, and smoothies.",MALLS,0,True,17
∀x (Building(x) ∧ ServesForReligiousWorship(x) ∧ ServesForCommunityGatherings(x) → Church(x)),A building that serves as a place for religious worship and community gatherings is a church.,MALLS,0,True,16
∀x (Beverage(x) → (Hot(x) ⊕ Cold(x))),A beverage can be hot or cold but not both.,MALLS,0,True,10
∀x (Camera(x) → (CapturesImages(x) ∧ HasLens(x) ∧ UsesSensor(x))),"A camera captures images, has a lens, and uses a sensor.",MALLS,0,True,11
"∀x (BicycleLane(x) ↔ (DesignatedFor(x, bikes) ∧ SeparateFromVehicleLanes(x) ∧ ¬PedestrianPath(x)))","A bicycle lane is designated for bikes, is separate from vehicle lanes, and is not a pedestrian path.",MALLS,0,True,18
"∀x∀y (Student(x) ∧ Course(y) ∧ CompletesHomework(x, y) ∧ AttendsLectures(x, y) → ImprovesUnderstanding(x, y))",Students who complete homework assignments and attend lectures improve their understanding of the course material.,MALLS,0,True,15
"∀x ∀y (Spacecraft(x) ∧ SpaceStation(y) ∧ CorrectApproachSpeed(x) ∧ SecureConnection(x, y) → Docks(x, y))",A spacecraft x docks with a space station y when it reaches the correct approach speed and establishes a secure connection.,MALLS,0,True,21
∀x (Planet(x) ∧ Habitable(x) → (OrbitsStar(x) ∧ HasAtmosphere(x))),"For a planet to be habitable, it must orbit a star and have an atmosphere.",MALLS,0,True,15
∀x (Area(x) ∧ HighPopulationDensity(x) ∧ MostlyManMadeStructures(x) → Urban(x)),An area is urban if it has a high population density and consists of mostly man-made structures.,MALLS,0,True,17
∀x (CelestialEvent(x) ∧ MovesIntoShadowOfAnotherCelestialBody(x) → Eclipse(x)),A celestial event that occurs when a celestial body moves into the shadow of another celestial body is called an eclipse.,MALLS,0,True,21
∀x∀y∀z (Chef(x) → Cooks(x)) ∧ (Waiter(y) → Serves(y)) ∧ (Dishwasher(z) → Cleans(z)) ∧ (FoodIndustryWorker(x) ∧ FoodIndustryWorker(y) ∧ FoodIndustryWorker(z)),"A chef cooks, a waiter serves, and a dishwasher cleans, but all work in the food industry.",MALLS,0,True,17
"∀x∀y∀z (Train(x) ∧ City(y) ∧ City(z) ∧ RailwayTrack(x) ∧ (Passengers(x) ∨ Cargo(x)) → Connects(x, y, z))","A train connects two cities, traveling on a railway track, and transporting passengers or cargo.",MALLS,0,True,15
∀x (Airplane(x) ∧ (FlownCertainHours(x) ∨ ExperiencedTechnicalIssues(x)) → RequiresMaintenance(x)),An airplane requires maintenance if it has flown a certain number of hours or has experienced technical issues.,MALLS,0,True,18
"~ FrontOf ( d , c ) & ~ FrontOf ( d , b ) & ~ FrontOf ( c , b )",It is not the case that d is in front of c and it is not the case that d is in front of b and it is not the case that c is in front of b.,Baseline,1,False,38
"~ / v ( RightOf ( v , b ) & Cube ( v ) )",It is not the case that there is an element v such that v is to the right of b and v is a cube.,Baseline,1,False,25
"~ / x ( Cube ( x ) & @ y ( Tet ( y ) $ FrontOf ( x , y ) ) & ~ Large ( x ) )","It is not the case that there is an element x such that x is a cube, x is in front of every tetrahedron and x is not large.",Ranta,1,True,29
"~ / u ( LeftOf ( b , u ) & Cube ( u ) )",It is not the case that there is an element u such that b is to the left of u and u is a cube.,Baseline,1,False,25
"@ x ( Cube ( x ) $ / y ( RightOf ( y , x ) & ~ ( FrontOf ( y , x ) | BackOf ( y , x ) ) ) )","For all x, if x is a cube, then there is an element y such that y is to the right of x and it is not the case that y is in front of x or y is in back of x.",Baseline,1,False,43
"~ @ u @ y ( ( Cube ( u ) & Tet ( y ) ) $ Smaller ( u , y ) )","It is not the case that for all u, for all y, if u is a cube and y is a tetrahedron, then u is smaller than y.",Baseline,1,False,28
"@ x @ y ~ ( Tet ( x ) & Cube ( y ) & SameSize ( x , y ) )","For all x, for all y, it is not the case that x is a tetrahedron and y is a cube and x is of the same size as y.",Baseline,1,False,30
